image_name,barn,beach,bedroom,castle,classroom,desert,kitchen,library,mountain,river
sourcetest/barn/00000010.jpg,0.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000012.jpg,0.973,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000017.jpg,0.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000036.jpg,0.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000030.jpg,0.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000083.jpg,0.922,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000106.jpg,0.904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000196.jpg,0.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000218.jpg,0.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000239.jpg,0.925,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000259.jpg,0.769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000086.jpg,0.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000143.jpg,0.989,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000215.jpg,0.904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000221.jpg,0.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000243.jpg,0.964,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000246.jpg,0.916,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000277.jpg,0.934,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000284.jpg,0.954,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000302.jpg,0.945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000326.jpg,0.737,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000478.jpg,0.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000483.jpg,0.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000504.jpg,0.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000527.jpg,0.885,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000573.jpg,0.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sourcetest/barn/00000609.jpg,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
